user_id,checkout_id,checkout_ts,is_approved,is_authed,loan_amount,apr,fico_score
6906-4922-IYOH,7IKNXN456VQ3LW4M,2016-11-09 0:23:12,1,0,513,IB,780
6016-3178-UPRT,FCBPQU1VSUHBVK2P,2016-11-09 0:23:29,1,1,412,IB,640
3510-6742-URLG,D3Y6DRVAV3KAP1PJ,2016-11-09 0:41:06,1,1,270,Zero,650
3545-1484-KFVW,AHU3JKWBLS4XPQKF,2016-11-09 2:01:02,1,1,168,Zero,720
9223-3913-GZTA,0S731350Z125SGJN,2016-11-09 3:35:31,0,0,116,IB,610
0674-7281-BNWX,LJJURYW7WWQ6TN37,2016-11-09 3:42:56,1,1,268,Zero,730
0118-2842-QBDC,TXREETBF0QN7NZGI,2016-11-09 4:05:32,1,1,529,Zero,630
3537-5160-DSNC,FEV1T6M1PDCT7ACS,2016-11-09 4:21:56,1,1,181,Zero,700
2518-9255-KBPZ,L8KWEVPXGRC65R4Y,2016-11-09 4:31:39,0,0,180,IB,700
5161-7168-CKLK,24UYGM1BDTSLZ3BQ,2016-11-09 5:46:21,1,0,1663,Zero,760
7392-3301-VRRZ,32CNZRK9ZYJ22SG2,2016-11-09 6:00:06,1,1,432,IB,760
4500-7946-IVHK,759CB01PA4GL4Y2U,2016-11-09 10:28:41,0,0,621,IB,730
1234-2423-ZUAI,N780SXQ2AYK67YX1,2016-11-09 11:47:18,1,0,702,Zero,660
8679-0713-HKGH,TGLK4RNFFK9XFZX0,2016-11-09 13:13:12,1,1,158,IB,670
5859-9739-WCFF,RCCNQ52GEFTUX2U0,2016-11-09 15:33:57,1,1,261,Zero,740
4303-8432-KNNB,CVQJA3JQ2NBDF6TN,2016-11-09 15:43:46,1,1,843,IB,720
5571-5307-TBJX,LNJEO7P6C5AVHX1N,2016-11-09 16:38:31,1,0,435,IB,760
7887-4239-POQE,L5I15L6O25G8IBDO,2016-11-09 16:39:31,0,0,338,Zero,560
5709-8599-TKYJ,ATHEF754Z7GRYVQT,2016-11-09 16:47:34,1,1,151,IB,650
6262-0071-SRFN,Q75KRWD151FAV3Z8,2016-11-09 17:05:32,1,1,412,IB,670
3191-8692-QOVD,4YZQIKN1KH86T2PF,2016-11-09 17:53:49,0,0,1193,Zero,530
9256-7268-LAGS,EJIJHNGQMWNP6H4N,2016-11-09 18:36:33,1,1,168,Zero,730
5680-7151-JWBP,WJ3BIJKGBKCLJ72X,2016-11-09 18:57:49,1,1,162,IB,690
0501-4319-WJOU,EKZ31VQ9FHTSZXHR,2016-11-09 19:00:30,0,0,732,IB,680
3558-0584-JTOB,HYIPTYXY0O98C1RW,2016-11-09 19:48:43,1,1,182,Zero,830
4391-9415-YILP,2CQ11JONBSXTHGNM,2016-11-09 20:04:24,0,0,149,Zero,550
6723-2303-XRYK,6NDB1DQFNS33D7EX,2016-11-09 20:34:43,1,1,319,IB,620
6617-3878-MQLL,A14VWD33D4PEGSJP,2016-11-09 20:38:38,1,1,647,IB,720
2062-3331-CATD,II899ZZAQZLQ7YJ9,2016-11-09 20:55:08,1,1,205,Zero,650
3687-1072-BVHV,7JEYW6JDQA2SVHPQ,2016-11-09 21:12:51,0,0,161,Zero,590
6984-0332-FBYI,AMXVHYYG8R5IT5V7,2016-11-09 21:27:47,1,1,257,IB,670
6162-9330-AIYW,5BRYZOKEVSLBVOEV,2016-11-09 21:29:33,0,0,1072,Zero,690
5635-4632-WYEH,C8SFQ2E6J6ASI9AB,2016-11-09 21:31:59,0,0,109,IB,640
2158-7632-MFGW,OFGLGBW5FASOQC1S,2016-11-09 22:20:05,0,0,385,IB,610
7174-9219-CZNH,9L302SFRB1F7TYRR,2016-11-09 22:23:38,0,0,107,IB,660
3130-9269-XCVU,UN6UHX1QW8Y5C1JZ,2016-11-09 22:56:03,1,0,2490,Zero,780
8167-0339-HMYR,6RCG4OMA7RKSGXZI,2016-11-09 22:56:13,0,0,890,Zero,560
5973-0781-TEYL,BPJQT46WV1TPPFFC,2016-11-09 23:13:31,1,1,124,Zero,560
1307-3613-UMCF,FGBRHESIH7G1LAHG,2016-11-09 23:33:18,1,1,975,IB,720
1455-3554-GZIQ,IANXW19A1KB1LBLF,2016-11-09 23:37:25,1,1,1812,IB,790
9269-5859-ZJBK,GDXSDWXBVA61DP8I,2016-11-09 23:46:00,1,1,125,Zero,570
3512-8136-LHQT,V78OIYXY5PKUG36J,2016-11-09 23:48:31,1,1,190,Zero,710
4897-7619-WWFF,1JZ1U4COE6C35WN5,2016-11-09 23:54:13,1,1,102,Zero,770
2048-4453-SVFN,GA6FNENL8KW34CKX,2016-11-09 23:59:34,1,0,1646,Zero,680
4171-5869-KHHP,LYL9INT3DNGXSQQ1,2016-11-10 0:20:47,1,1,160,Zero,630
2722-7546-NHIR,TUTMRYN7YH0WQEDL,2016-11-10 0:23:04,0,0,425,Zero,650
6213-2953-RZOI,ILEHRDG6T26UIGWA,2016-11-10 0:26:33,1,1,214,Zero,820
9823-0692-QUQA,YPKPQPCOOJ3M99AH,2016-11-10 0:31:36,1,1,199,IB,650
4011-0125-MTNW,MQO6GXLHWHI55OJ2,2016-11-10 1:41:17,1,0,119,Zero,610
1796-8938-MFXM,S3XGQLYNCRQDKUJU,2016-11-10 1:49:40,1,1,499,IB,630
9303-2867-JOIF,AB5JNTBCNDPRE6AJ,2016-11-10 2:14:08,1,1,129,IB,620
9356-6429-BBUJ,GMCCI2NARMFZT78Z,2016-11-10 2:20:47,1,1,199,IB,770
4452-4293-BNWQ,DWRFX4NMPTRCCQ6F,2016-11-10 2:43:32,0,0,109,Zero,580
3900-3591-TQYP,SFUVA2DZ77N8MZOS,2016-11-10 2:50:15,1,0,188,Zero,620
2333-6989-TTLR,OF18KZ72SO7FYSGS,2016-11-10 5:55:01,1,1,200,IB,770
9899-3367-MNOB,L1LZPTMM0STO2UI8,2016-11-10 6:05:22,1,1,429,Zero,670
2585-5076-LHRX,WP9MI6D75IFZCXOF,2016-11-10 6:08:18,1,1,109,Zero,640
8922-7996-FXAO,BH3UQHVXHDK713HP,2016-11-10 10:56:49,1,0,898,Zero,650
2233-4167-UWGH,WWVT92016DKNQWN4,2016-11-10 12:13:21,0,0,129,IB,590
6605-6998-IKPE,7YZEG6PFZVR8IB6V,2016-11-10 13:25:21,0,0,108,IB,530
8125-7421-KRSP,BJRJM21EGA0ORC9B,2016-11-10 14:17:20,0,0,152,Zero,620
5701-1547-RULP,TEMT19AFHCRA1UA4,2016-11-10 14:17:28,1,1,425,IB,810
8599-8361-WYQA,WCQ30GX9C2B08SMT,2016-11-10 15:09:54,1,1,405,Zero,620
8259-7255-BLEW,RWG3I4GCN89YAR3B,2016-11-10 15:29:05,0,0,104,IB,760
2695-9023-XZRC,BVRANNBIVSUUG2OQ,2016-11-10 16:28:12,1,1,350,IB,810
8532-4041-YJUU,33Z5CWE2AALRV0AF,2016-11-10 16:37:21,1,1,805,Zero,730
1841-9400-FBIY,1884AM8CXQGTPHKQ,2016-11-10 16:44:56,0,0,475,Zero,660
1502-1427-IOPG,39FEPUWFYZ05X8K6,2016-11-10 16:47:47,1,1,150,IB,630
8874-7349-XWQH,2AABFXBWOHJ85A2X,2016-11-10 17:11:27,1,0,864,Zero,610
9376-8211-HCAR,59U2A8QBNX23G19O,2016-11-10 17:25:44,1,1,264,Zero,760
4731-6784-XKTH,WG8120C0H8ML3WL9,2016-11-10 17:27:38,1,1,160,IB,640
6566-0738-MJUN,0IMOB9O4818CFKLL,2016-11-10 17:31:26,1,1,138,Zero,720
9679-6613-JKCU,URYK63005TNJBLIO,2016-11-10 17:57:00,1,0,270,Zero,620
7786-6237-XFGW,AUWDCNLBYNHB8WA0,2016-11-10 18:13:09,0,0,107,IB,610
4642-7684-PDFJ,VPUCWQDPGAVX7APT,2016-11-10 18:21:16,0,0,165,Zero,570
9541-1614-IKHA,LS86B4XR8JKX5YX7,2016-11-10 19:15:36,0,0,648,IB,700
4471-8512-FMIV,T1YKDTDMPPDUGJ3G,2016-11-10 19:22:49,1,1,325,Zero,680
0942-0537-LUTV,NGBX41URGDAPAQFL,2016-11-10 19:43:18,1,1,106,IB,670
7680-9050-RJCO,SSGRZ3K1VLVB2G8R,2016-11-10 19:54:33,1,1,124,IB,710
6305-8849-XRJV,FM0QPK7XTF58XYPM,2016-11-10 20:07:30,1,1,173,IB,630
8788-6825-ZERW,FVTWE5GQK371HKFO,2016-11-10 20:16:47,1,1,170,Zero,830
5979-4826-EERZ,IT0R3PG1D7NAUM4Z,2016-11-10 20:26:37,1,1,236,Zero,750
